f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,label
0.42601830,0.21717785,0.68658433,-1.21380217,-0.21389394,-1.41249071,-0.05732956,0.48730204,-1.14449213,-0.63334518,-0.30649012,1.25859307,1.47976505,-1.36526610,0.78302377,-0.38482780,-0.32262544,0.76279492,1.25527930,1.35278578,0.23136776,-0.42863652,0.86264726,-0.74699585,0.19222209,-0.42426462,0.46989322,-0.77880326,-0.92522116,1.25471726,-1.19458895,0.01787372,-0.83744165,-1.38321011,-1.39194355,-0.97433468,1.10031106,-0.65256377,1.35137751,0.24486688,-0.19015743,0.24026650,0.05009516,0.77632876,-0.65251180,-0.44084883,1.18228291,1.33936954,1.17767468,-0.24165602,0.84109651,-0.07099280,1.00000000
-0.40927287,0.34576207,-0.00738044,-0.88595967,0.27339091,-0.94159231,-0.50530590,1.06509060,-0.87877257,-1.28652514,-1.29297722,1.32235356,0.02076131,-0.27176378,0.93263574,1.00747778,-0.50342690,0.58085417,0.81336845,0.46395206,-1.04521478,1.12764925,0.11728366,-0.65258272,-0.22431544,-1.38728673,-1.11639960,0.79664025,-1.49996510,-0.25030251,0.06753054,-1.33609674,1.41923449,-0.82162401,-0.58740384,-0.58817246,-0.80875001,-1.49557853,0.68803438,1.40053650,-0.82711955,0.48914158,0.72568898,1.04527614,-0.23211241,-0.59120728,-0.52411460,0.63786400,0.95033840,-0.95515810,-0.38717698,1.20582059,1.00000000
0.46990123,0.90454429,0.92008056,1.45457521,0.76274478,-0.32041440,0.27191350,0.48304276,-1.26463255,0.13349088,0.62796249,-0.99803609,0.84189515,0.25131834,1.35666536,-1.37273311,-0.70402159,0.30466164,-0.61032026,0.64327249,0.77701585,-1.19245211,0.04156339,0.02667167,-0.39215769,1.29877459,0.98251896,0.59162815,0.64297991,-0.11485157,1.26298356,0.58378628,0.68694318,1.08507271,-0.67778523,0.92121271,-0.91427819,-0.46397414,-0.49316864,1.43557641,1.06961167,0.60350958,0.68117028,0.18621838,1.34127200,-0.01122374,-0.35844687,-1.01089399,0.85861696,0.70333180,-0.34693488,-1.42441976,0.00000000
0.64190524,0.08058485,1.01699198,-1.46574605,0.61109934,1.41077133,-0.18701602,-0.79507979,0.61461303,0.95138443,0.13929095,1.40110583,-1.34499384,0.01438679,0.65536184,1.08792141,-0.96223316,0.90001045,0.15812123,-0.31033895,-1.10485491,1.09588728,-1.02818038,-0.57063642,-0.62986340,1.11424210,0.51810898,0.89004419,-0.74859630,0.37462230,0.21523795,0.99849113,1.21826118,-1.46352969,0.52205976,-1.34449260,0.14657600,-0.63710181,-0.57967020,-0.44112449,0.36387735,-0.49785010,0.69809715,-0.28641784,-1.29494040,0.85127953,-0.64272503,-0.20169936,0.55633165,-0.50263153,-1.33024303,-0.37823686,1.00000000
-0.98663621,0.16952151,1.33334575,0.42520319,0.51443745,0.39684646,-0.90302358,-0.24499841,0.75281940,-1.19588131,-0.66644167,-0.67104267,-0.20394322,1.44110622,-1.29749236,0.05610298,-0.96190595,1.41202964,-1.16008949,-0.28919699,0.71365495,0.61366328,-0.23181409,-0.46042750,-0.30716286,-0.70717121,-0.88400118,-0.05088091,-0.69439873,-0.63761501,0.47026819,1.40561200,0.31091160,-1.26906160,-1.27324916,1.35426966,-0.60812763,-1.22379904,0.29713376,0.37094633,0.44551446,-0.69779392,-1.45466795,1.39504611,-0.74732086,0.52807886,0.61988961,0.33002225,-0.56127782,-0.68671124,0.29300485,1.09828690,0.00000000
-0.71700850,0.43835951,1.34020119,-1.18228259,-1.03551416,1.33420878,0.70960569,1.14898147,-0.89210210,0.26275761,0.60341878,0.54033566,-0.27554493,-1.45381532,0.24877817,-0.74069538,-0.14923726,1.37274305,-0.30289405,1.01940482,-0.93437818,0.51738149,1.43102086,-1.19432070,-1.47504017,-0.19925162,-1.22212355,0.74515305,1.24364599,-0.19793708,-0.72386507,-0.19679004,0.67034345,-1.47283752,0.26836197,0.33987505,0.41306474,-0.77393376,0.64215817,-1.22582554,-0.90218899,1.13241014,0.71616945,-1.45876334,-0.75487122,-0.85678055,-0.68758102,-0.75732069,-1.31242111,-0.12317845,0.69820042,0.32019517,0.00000000
-0.37972275,-0.45290520,0.51861501,-1.25655246,1.35447213,1.01547550,0.91527096,0.96895142,1.29813152,0.13276190,-0.89915395,0.35035082,0.72864448,0.71375218,0.06434707,-1.29462384,-0.38666118,1.26229983,0.25334673,0.11499583,-0.69343946,-0.39465324,1.18603827,0.49938914,0.86216108,-0.13696373,0.39074166,-0.75484917,0.61638249,-0.21719600,-0.17236346,0.44796697,1.30884186,-1.30798096,0.97422971,-0.62285067,-0.16824164,-1.43426001,-0.59686177,0.00789373,-1.33147177,-0.02671281,1.28133189,-1.18382035,0.79332218,-0.27098684,0.46552114,-0.71929021,-1.02152321,-1.01861216,-1.28852416,-0.94305989,1.00000000
-0.99585899,0.10803081,0.49265815,1.14507184,0.94237706,0.55540293,-1.16870441,-0.63243766,-0.57057937,-0.75012916,0.04501698,0.10666144,-0.42934207,-0.43863252,0.98566679,0.86787854,-0.57661250,1.24136533,1.35844505,-0.51977237,-0.43672515,0.01690246,1.32336244,1.12895830,-1.19229611,-0.32180777,0.16011357,0.00939742,-0.91841080,1.07645031,0.53082235,1.01372512,1.07629284,0.74506756,-0.18236820,0.33164027,-1.01890378,0.52093625,-0.96224023,0.58184877,-0.81120552,-1.14734610,-1.00414653,-1.49402359,0.65621885,0.69720315,0.04480005,-1.01591160,-1.24933699,-1.44261310,-1.00275547,1.17256660,0.00000000
-0.27772184,0.45387353,-0.77538947,-0.43718602,-1.18396355,-0.83291609,0.05767371,0.32325805,-0.76394306,-1.32680352,-0.32690139,-0.79738989,-0.84133823,1.37958841,0.34890146,0.17063533,-0.25267469,-0.21316700,0.12271501,0.58928942,0.60643829,-0.98491828,0.00033826,-0.26412571,1.11158090,0.39425676,0.09751220,-1.15381607,0.31691367,-1.14838828,-0.48838027,-1.07147411,0.57622094,-0.88124366,-0.32442188,1.18702433,-0.88705085,0.02341519,-0.24218502,-1.44562788,0.87827434,-1.29286228,-0.07723494,0.18203488,0.38527937,0.56589489,-0.74018285,-1.47006367,0.67033099,0.10696980,1.00835311,0.96416509,1.00000000
-0.69609445,-0.64579777,1.02997850,-0.04471602,-0.49911481,0.87467461,-0.14611766,-0.94967341,1.06492206,1.14767963,-0.10107073,-1.27290082,-0.33652173,0.91061298,1.20532209,-0.88958177,-1.29907916,1.13205136,-0.33178518,0.12528289,1.40419744,-1.30030582,0.44495402,-1.27768373,-0.37359321,0.91144364,-0.19958330,1.49154706,0.17717785,-0.53651354,-0.83966602,-0.44843840,-0.38240018,-1.29385897,-0.39127740,-0.10728444,0.66821326,0.47018845,0.62629697,-1.47490895,-0.84699780,0.48505287,-0.04803190,-1.48405957,0.91348393,0.81842872,0.14525749,-1.30061002,0.79954515,0.25114076,0.84587993,0.75524098,0.00000000
