dataset,classifier,accuracy_mean,accuracy_std,f1_mean,f1_std,train_ms_mean,train_ms_std
Adversarial(52D),Decision Tree (depth=8),0.9875,0.0,0.987045,0.0,1143.7945,43.764342548291594
Adversarial(52D),Gaussian Naive Bayes,0.75,0.0,0.742102,0.0,0.013510250000000001,0.004480372703893
Adversarial(52D),RM-NSGA-II,0.39875,0.03341820335968817,0.32364675000000004,0.03860323292007521,63136.55500000001,4337.719689503984
Adversarial(52D),SVM-Linear (C=1),0.41125,0.017158318528831484,0.40711225000000006,0.018049862133530936,762.36285,6.776764880049606
Adversarial(52D),SVM-RBF (C=1 γ=1.00),0.4125,0.0,0.292035,0.0,407.13215,24.15379973218771
Adversarial(52D),k-NN (k=3),0.425,0.0,0.421747,0.0,0.03040935,0.010293641181126797
Adversarial(52D),k-NN (k=7),0.4875,0.0,0.48742,0.0,0.021744,0.008716714796418732
Blobs (2D),Decision Tree (depth=8),1.0,0.0,1.0,0.0,11.0805915,0.937757375687084
Blobs (2D),Gaussian Naive Bayes,1.0,0.0,1.0,0.0,0.0068121,0.003005513703354658
Blobs (2D),RM-NSGA-II,0.9981249999999999,0.006117006061619915,0.9981249,0.006117188913218239,5643.5605000000005,495.91096981610264
Blobs (2D),SVM-Linear (C=1),1.0,0.0,1.0,0.0,10.712448,2.137747944123983
Blobs (2D),SVM-RBF (C=1 γ=1.00),1.0,0.0,1.0,0.0,28.24099,6.018484958849257
Blobs (2D),k-NN (k=3),1.0,0.0,1.0,0.0,0.02472055,0.009665855376285287
Blobs (2D),k-NN (k=7),1.0,0.0,1.0,0.0,0.01688025,0.006274405309417149
BreastCancer(30D),Decision Tree (depth=8),0.920354,0.0,0.907587,0.0,977.07605,44.57912140462052
BreastCancer(30D),Gaussian Naive Bayes,0.9115040000000001,0.0,0.89652,0.0,0.0124276,0.002603760830636695
BreastCancer(30D),RM-NSGA-II,0.92964615,0.014204440148196102,0.9171962499999999,0.015947660237146822,49945.97,2103.1930797317646
BreastCancer(30D),SVM-Linear (C=1),0.9858406000000001,0.004447725881367849,0.982916,0.005425833528010629,318.60704999999996,45.61000443401703
BreastCancer(30D),SVM-RBF (C=1 γ=1.00),0.9849555000000001,0.007091175409211834,0.9821273999999999,0.008298137460012515,922.836,154.745955549223
BreastCancer(30D),k-NN (k=3),0.982301,0.0,0.978965,0.0,0.0340766,0.011440601711264556
BreastCancer(30D),k-NN (k=7),0.982301,0.0,0.978965,0.0,0.019539499999999998,0.0033313822403889565
Chessboard (2D),Decision Tree (depth=8),0.7375,0.0,0.732441,0.0,33.466035,2.476764798402396
Chessboard (2D),Gaussian Naive Bayes,0.5375,0.0,0.536849,0.0,0.0067975,0.0022532208642647295
Chessboard (2D),RM-NSGA-II,0.5549999999999999,0.0363643839636069,0.5377757,0.04665241405961189,5354.1485,309.0303638849986
Chessboard (2D),SVM-Linear (C=1),0.536875,0.012483541796680694,0.5220984,0.012237028098099819,21.37137,3.071784900655437
Chessboard (2D),SVM-RBF (C=1 γ=1.00),0.564375,0.011666275056084103,0.5247435,0.015946061765906506,79.41378,9.223685931944882
Chessboard (2D),k-NN (k=3),0.8,0.0,0.799499,0.0,0.0208025,0.003052385788199126
Chessboard (2D),k-NN (k=7),0.8125,0.0,0.812471,0.0,0.015529999999999999,0.0013486598026032715
Circles (2D),Decision Tree (depth=8),1.0,0.0,1.0,0.0,28.03504,1.967500054276732
Circles (2D),Gaussian Naive Bayes,1.0,0.0,1.0,0.0,0.006433650000000001,0.0007969449082854507
Circles (2D),RM-NSGA-II,0.96125,0.03971526950152734,0.96063025,0.03994951437274828,5956.267,717.9650167632053
Circles (2D),SVM-Linear (C=1),0.4149999999999999,0.024535152011155872,0.31135725000000003,0.05112221228829991,23.547909999999998,2.863984361339985
Circles (2D),SVM-RBF (C=1 γ=1.00),1.0,0.0,1.0,0.0,99.88527,11.666613528314578
Circles (2D),k-NN (k=3),1.0,0.0,1.0,0.0,0.0173408,0.0028562612035942883
Circles (2D),k-NN (k=7),1.0,0.0,1.0,0.0,0.015199250000000001,0.0014406821438033043
Iris (4D),Decision Tree (depth=8),0.9666669999999999,0.0,0.9679629999999999,0.0,1.703096,0.14492491727206822
Iris (4D),Gaussian Naive Bayes,0.9666669999999999,0.0,0.9679629999999999,0.0,0.0053143,0.0005715257603440478
Iris (4D),RM-NSGA-II,0.9566669000000001,0.024423270469176035,0.95739135,0.02628936533292304,3250.745,220.90139344584452
Iris (4D),SVM-Linear (C=1),0.9233331,0.04726439011716293,0.9183122499999999,0.06543853481411711,3.944001,0.6920573388847278
Iris (4D),SVM-RBF (C=1 γ=1.00),0.9666669999999999,0.0,0.9679629999999999,0.0,9.985036,2.1083729196041197
Iris (4D),k-NN (k=3),0.9666669999999999,0.0,0.9679629999999999,0.0,0.013444900000000001,0.003048084072952955
Iris (4D),k-NN (k=7),0.9666669999999999,0.0,0.9679629999999999,0.0,0.007263800000000001,0.0015988958887800963
Spirals (2D),Decision Tree (depth=8),0.95,0.0,0.949717,0.0,40.423575,2.9631862926808332
Spirals (2D),Gaussian Naive Bayes,0.6375,0.0,0.630514,0.0,0.0060465,0.0006955736367995312
Spirals (2D),RM-NSGA-II,0.650625,0.08972500018330866,0.613418,0.11311282257993566,5392.3769999999995,506.79420169802336
Spirals (2D),SVM-Linear (C=1),0.635,0.018848425873126306,0.6281276,0.01799090334000697,20.925955,3.339881313125237
Spirals (2D),SVM-RBF (C=1 γ=1.00),0.64125,0.00821183356664735,0.63528515,0.00858886101924431,73.85111500000001,9.167518359849858
Spirals (2D),k-NN (k=3),1.0,0.0,1.0,0.0,0.02042915,0.004831688375222802
Spirals (2D),k-NN (k=7),1.0,0.0,1.0,0.0,0.014971499999999999,0.0014497666055356343
Two Moons (2D),Decision Tree (depth=8),0.975,0.0,0.973958,0.0,25.41759,5.821718245266012
Two Moons (2D),Gaussian Naive Bayes,0.85,0.0,0.842001,0.0,0.00598145,0.0010133255036343409
Two Moons (2D),RM-NSGA-II,0.8618750000000001,0.02852601536547961,0.85698825,0.03069822832342883,5852.616,646.1731760824036
Two Moons (2D),SVM-Linear (C=1),0.8712500000000001,0.02333255011216822,0.86556795,0.026051214178138896,18.962255,4.444122853656809
Two Moons (2D),SVM-RBF (C=1 γ=1.00),0.86,0.013203867057160106,0.85337295,0.014883599417780207,60.76284,12.800592374014734
Two Moons (2D),k-NN (k=3),0.975,0.0,0.97421,0.0,0.02164475,0.007726684676632356
Two Moons (2D),k-NN (k=7),0.9875,0.0,0.987045,0.0,0.01772475,0.003524791085634498
Wine (13D),Decision Tree (depth=8),0.914286,0.0,0.914832,0.0,19.299785,0.9267043440828931
Wine (13D),Gaussian Naive Bayes,0.971429,0.0,0.9696390000000001,0.0,0.00976995,0.005042909190401071
Wine (13D),RM-NSGA-II,0.94714305,0.023220883505733394,0.94720105,0.022899219477562523,8109.51,413.75239529279617
Wine (13D),SVM-Linear (C=1),0.99857145,0.00638866981851465,0.9984819500000001,0.006788925986487103,13.892255,1.2975525453207744
Wine (13D),SVM-RBF (C=1 γ=1.00),0.99857145,0.006388669818514656,0.9986687,0.005953754596890946,51.819905000000006,8.637129443736988
Wine (13D),k-NN (k=3),1.0,0.0,1.0,0.0,0.0212235,0.006107096514883752
Wine (13D),k-NN (k=7),0.971429,0.0,0.9709619999999999,0.0,0.0125053,0.005591743331395901
